user_id,number,frequency,est_i,estimation
92904815,three,4,1,80
92904815,one,5,1,80
92904815,six,2,1,70
92904815,two,3,1,70
92904815,four,1,1,85
92904815,five,6,1,65
31367606,four,4,1,60
31367606,two,6,1,70
31367606,one,5,1,80
31367606,five,3,1,60
31367606,three,2,1,70
31367606,six,1,1,70
34613977,five,2,1,85
34613977,one,1,1,95
34613977,three,5,1,90
34613977,two,3,1,20
34613977,four,4,1,10
34613977,six,6,1,25
24018659,two,5,1,25
24018659,three,4,1,40
24018659,four,6,1,32
24018659,one,1,1,70
24018659,six,2,1,40
24018659,five,3,1,60
12218160,six,3,1,35
12218160,one,6,1,10
12218160,four,5,1,80
12218160,three,1,1,85
12218160,two,2,1,55
12218160,five,4,1,35
34181837,five,6,1,15
34181837,one,3,1,10
34181837,four,1,1,70
34181837,two,5,1,75
34181837,six,4,1,20
34181837,three,2,1,48
15155018,one,1,1,75
15155018,two,6,1,10
15155018,six,3,1,0
15155018,four,4,1,70
15155018,three,2,1,30
15155018,five,5,1,40
87987556,five,1,1,90
87987556,four,4,1,70
87987556,two,2,1,30
87987556,six,3,1,80
87987556,one,5,1,45
87987556,three,6,1,55
28371694,one,1,1,57
28371694,two,3,1,27
28371694,four,4,1,61
28371694,five,2,1,32
28371694,six,6,1,17
28371694,three,5,1,74
42687431,two,2,1,30
42687431,four,4,1,55
42687431,five,5,1,40
42687431,three,1,1,75
42687431,six,6,1,45
42687431,one,3,1,60
93404764,four,3,1,35
93404764,one,2,1,70
93404764,five,6,1,55
93404764,six,4,1,85
93404764,two,1,1,75
93404764,three,5,1,80
11876128,one,2,1,33
11876128,five,4,1,7
11876128,three,1,1,94
11876128,two,5,1,65
11876128,four,6,1,56
11876128,six,3,1,45
82222464,three,6,1,40
82222464,one,2,1,32
82222464,two,4,1,57
82222464,four,3,1,25
82222464,six,1,1,71
82222464,five,5,1,76
82396610,two,4,1,24
82396610,one,1,1,81
82396610,six,6,1,20
82396610,five,2,1,84
82396610,three,3,1,39
82396610,four,5,1,56
80623916,four,1,1,90
80623916,two,3,1,25
80623916,one,4,1,70
80623916,three,6,1,25
80623916,five,2,1,80
80623916,six,5,1,70
47866944,four,4,1,40
47866944,six,2,1,55
47866944,one,5,1,65
47866944,three,1,1,70
47866944,five,3,1,45
47866944,two,6,1,40
31806959,six,1,1,95
31806959,two,2,1,90
31806959,five,3,1,30
31806959,three,6,1,10
31806959,one,5,1,75
31806959,four,4,1,80
81382564,six,5,1,32
81382564,two,6,1,67
81382564,one,1,1,66
81382564,four,3,1,38
81382564,five,4,1,70
81382564,three,2,1,32
13151826,three,6,1,30
13151826,one,2,1,85
13151826,five,3,1,70
13151826,two,1,1,85
13151826,six,5,1,65
13151826,four,4,1,20
55670693,one,1,1,85
55670693,three,6,1,5
55670693,two,2,1,75
55670693,six,4,1,40
55670693,five,3,1,45
55670693,four,5,1,60
85229954,three,6,1,25
85229954,two,2,1,60
